,Date,Open,High,Low,Close,Adj Close,Volume,30_day_mean,14_day_mean,7_day_mean,Target,30_day_vmean,14_day_vmean,7_day_vmean,30_day_mean_SP500,14_day_mean_SP500,30_day_preformance_SP500,14_day_preformance_SP500,7_day_preformance_SP500,30_day_preformance_Tech,14_day_preformance_Tech,7_day_preformance_Tech
0,2017-01-03,28.950001,29.0825,28.690001,29.0375,27.219833,115127600,,,,0.0069461967241231,,,,,,,,,,,
1,2017-01-04,28.9625,29.127501,28.9375,29.004999,27.189367,84472400,,,,0.0174709857528289,,,,,,,,,,,
2,2017-01-05,28.98,29.215,28.952499,29.1525,27.327639,88774400,,,,0.0258004546869637,,,,,,,,,,,
3,2017-01-06,29.195,29.540001,29.1175,29.477501,27.632292,127007600,,,,0.0195617496431869,,,,,,,,,,,
4,2017-01-09,29.487499,29.8575,29.485001,29.747499,27.885387,134247600,,,,0.0150313486430062,,,,,,,,,,,
5,2017-01-10,29.692499,29.844999,29.575001,29.7775,27.913509,97848400,,,,0.0040251907756812,,,,,,,,,,,
6,2017-01-11,29.684999,29.9825,29.65,29.9375,28.063496,110354400,,,,0.0025201948924731,,,,,,,,,,,
7,2017-01-12,29.725,29.825001,29.5525,29.8125,27.946321,108344800,,,0.0152352473400935,0.0091666666666666,,,108261771.42857143,,,,,0.00869171289366962,,,0.023675762439807405
8,2017-01-13,29.7775,29.905001,29.702499,29.76,27.897108,104447600,,,0.0131970837131217,0.0073339114037474,,,107292800.0,,,,,0.004925716307039208,,,0.02374598220604946
9,2017-01-17,29.584999,30.059999,29.555,30.0,28.12208,137759200,,,0.0026749749229574,0.0120220738019702,,,110146400.0,,,,,0.00042324683226200585,,,0.023156872134242425
10,2017-01-18,30.0,30.125,29.9275,29.997499,28.11974,94852000,,,0.0137704005845186,0.0,,,117144228.57142857,,,,,-0.0008806150215310373,,,0.018514954915328827
11,2017-01-19,29.85,30.022499,29.842501,29.945,28.070528,102389200,,,0.0047967878202336,0.0056628914057294,,,112550571.42857143,,,,,-0.0007433178365492698,,,0.01542175731077785
12,2017-01-20,30.112499,30.112499,29.932501,30.0,28.12208,130391600,,,0.011869025445153,-0.0040009669083937,,,107999371.42857143,,,,,0.00010573991505570577,,,0.013906948394961455
